a,b,c,a^2 + b^2 - c^2,2ab,C,COS,Degrees
298,13,303,-2836,7748,-0.37,1.945535637,111.4709809
198,927,938,18689,367092,0.05,1.519863365,87.08175625
97,854,877,-30404,165676,-0.18,1.755357129,100.574555
538,904,670,657760,972704,0.68,0.828179496,47.45118981
695,591,954,-77810,821490,-0.09,1.665656663,95.43509693
343,37,331,9457,25382,0.37,1.189001274,68.12475486
673,959,507,1115561,1290814,0.86,0.527177236,30.20503065
676,509,868,-37367,688168,-0.05,1.625122286,93.11264817
718,139,849,-185956,199604,-0.93,2.769654192,158.6894959
780,135,714,116829,210600,0.55,0.98274157,56.3069443
22,595,612,-20035,26180,-0.77,2.442270728,139.9318051
307,466,618,-70519,286124,-0.25,1.819825371,104.2683132
566,689,774,196001,779948,0.25,1.316773115,75.44554205
399,938,603,675436,748524,0.90,0.445588529,25.5303421
786,740,544,869460,1163280,0.75,0.72662463,41.63252456
62,301,247,33436,37324,0.90,0.460498449,26.38461761
486,808,709,386379,785376,0.49,1.056448796,60.53005728
95,120,117,9736,22800,0.43,1.129604418,64.72156566
568,753,358,761469,855408,0.89,0.473051342,27.10384539
516,332,699,-112121,342624,-0.33,1.904179833,109.1014679
538,290,719,-143417,312040,-0.46,2.048353413,117.3620055
865,88,889,-34352,152240,-0.23,1.798400074,103.0407341
530,138,533,15855,146280,0.11,1.462194951,83.77759951
111,275,266,17190,61050,0.28,1.285363824,73.64592224
631,902,1043,123916,1138324,0.11,1.461721888,83.75049502
69,130,90,13561,17940,0.76,0.713755482,40.8951767
524,602,392,483316,630896,0.77,0.698078374,39.9969446
734,386,833,-6137,566648,-0.01,1.581626895,90.62054586
899,558,1197,-313244,1003284,-0.31,1.888323887,108.1929891
547,664,535,453880,726416,0.62,0.895894026,51.33094659
624,941,900,464857,1174368,0.40,1.163818419,66.68188355
727,719,1071,-101551,1045426,-0.10,1.668088135,95.57440997
101,353,366,854,71306,0.01,1.558819489,89.31377773
176,844,846,27596,297088,0.09,1.477773926,84.67020903
468,579,348,433161,541944,0.80,0.644712433,36.93930143
435,719,658,273222,625530,0.44,1.118774928,64.10108163
68,776,771,12359,105536,0.12,1.453420034,83.27483383
327,677,881,-210903,442758,-0.48,2.067282849,118.4465823
181,727,895,-239735,263174,-0.91,2.716346596,155.6351956
985,961,608,1524082,1893170,0.81,0.635049495,36.38565582
989,972,259,1855824,1922616,0.97,0.264360351,15.14673237
539,603,622,267246,650034,0.41,1.147107183,65.72440022
847,156,912,-89999,264264,-0.34,1.918313803,109.9112847
665,578,498,528305,768740,0.69,0.81312048,46.58837175
817,708,1435,-890472,1156872,-0.77,2.449204825,140.3290996
416,594,247,464883,494208,0.94,0.346218575,19.83686314
536,457,355,370120,489904,0.76,0.714387059,40.93136342
759,558,830,198545,847044,0.23,1.334197566,76.44388959
151,889,1015,-217103,268478,-0.81,2.51263904,143.9636124
275,616,586,111685,338800,0.33,1.234864811,70.75254193
571,35,546,29150,39970,0.73,0.753502461,43.17251086
803,322,952,-157811,517132,-0.31,1.880908855,107.7681391
34,438,423,14071,29784,0.47,1.078744983,61.80753472
400,39,416,-11535,31200,-0.37,1.94949487,111.6978282
555,882,1325,-669676,979020,-0.68,2.324065162,133.1591251
488,815,844,190033,795440,0.24,1.329560349,76.17819658
107,631,565,90385,135034,0.67,0.837462857,47.98308722
260,732,513,340255,380640,0.89,0.46481976,26.63221047
412,946,573,736331,779504,0.94,0.334377515,19.15842035
655,123,748,-115350,161130,-0.72,2.368682234,135.715495
617,180,665,-29136,222120,-0.13,1.702347771,97.53734256
115,870,914,-65271,200100,-0.33,1.90306865,109.0378018
660,720,928,92816,950400,0.10,1.472980486,84.39556516
277,379,508,-37694,209966,-0.18,1.751299205,100.3420531
180,128,65,44559,46080,0.97,0.2576471,14.76209141
306,961,1228,-490827,588132,-0.83,2.558116251,146.5692647
390,158,299,87663,123240,0.71,0.779422765,44.65763491
433,442,283,302764,382772,0.79,0.658391518,37.72305526
268,910,1176,-483052,487760,-0.99,3.002539744,172.0328551
516,476,299,403431,491232,0.82,0.607173976,34.78850625
981,868,732,1179961,1703016,0.69,0.805340876,46.14263326
735,467,594,405478,686490,0.59,0.938927358,53.7965749
77,550,490,68329,84700,0.81,0.632219643,36.22351729
822,129,783,79236,212076,0.37,1.1878869,68.06090591
403,316,383,115576,254696,0.45,1.099793447,63.01352288
335,384,530,-21219,257280,-0.08,1.65336446,94.73080555
256,636,767,-118257,325632,-0.36,1.942455132,111.2944809
956,698,1182,4016,1334576,0.00,1.567787127,89.82758554
774,237,610,283145,366876,0.77,0.689171653,39.48662707
556,533,155,569200,592696,0.96,0.282514812,16.18690636
411,801,691,333041,658422,0.51,1.040467604,59.61440244
838,64,830,17440,107264,0.16,1.407481818,80.64276792
844,926,1229,59371,1563088,0.04,1.532804042,87.8232024
125,826,947,-198908,206500,-0.96,2.869590273,164.4154116
200,217,376,-54287,86800,-0.63,2.246474038,128.7134812
926,51,898,53673,94452,0.57,0.9664104,55.37123721
542,875,1041,-24292,948500,-0.03,1.596410092,91.46756065
691,484,1058,-407627,668888,-0.61,2.226112491,127.5468504
885,589,379,986505,1042530,0.95,0.329325983,18.86898889
200,639,675,-7304,255600,-0.03,1.599376117,91.63750137
865,307,604,477658,531110,0.90,0.452497547,25.92619966
930,861,524,1331645,1601460,0.83,0.588959067,33.74486882
392,692,1024,-416048,542528,-0.77,2.444744991,140.07357
21,438,446,-6631,18396,-0.36,1.939556034,111.1283749
394,464,407,204883,365632,0.56,0.975984351,55.91978419
518,761,390,695345,788396,0.88,0.49076136,28.11855469
447,221,290,164550,197574,0.83,0.586554833,33.60711637
793,495,1120,-380526,785070,-0.48,2.076820224,118.9930336
129,761,635,192537,196338,0.98,0.197090138,11.2924331
104,359,385,-8528,74672,-0.11,1.685252189,96.55783786
503,957,1074,15382,962742,0.02,1.554818365,89.08453025
992,172,1081,-154913,341248,-0.45,2.042001185,116.9980497
162,953,978,-22031,308772,-0.07,1.642207387,94.09155235
531,239,446,140166,253818,0.55,0.985759196,56.47984155
644,874,1219,-307349,1125712,-0.27,1.847333797,105.8444299
837,696,874,421109,1165104,0.36,1.200990183,68.81166874
541,831,1214,-490554,899142,-0.55,2.147877504,123.0643159
83,62,49,8332,10292,0.81,0.627392723,35.9469551
229,960,1045,-117984,439680,-0.27,1.842466379,105.5655474
734,739,809,430396,1084852,0.40,1.1628419,66.62593311
439,366,338,212433,321348,0.66,0.848554576,48.61859592
411,87,362,45446,71514,0.64,0.882161168,50.54411179
355,203,432,-19390,144130,-0.13,1.7057368,97.73151962
355,808,925,-76736,573680,-0.13,1.70495943,97.68697957
86,369,381,-1604,63468,-0.03,1.596071596,91.44816626
106,356,310,41872,75472,0.55,0.982671629,56.30293698
377,935,1205,-435671,704990,-0.62,2.236969395,128.1689053
9,630,633,-3708,11340,-0.33,1.903906833,109.0858261
53,718,733,-18956,76108,-0.25,1.822513222,104.4223157
621,162,547,112676,201204,0.56,0.976399969,55.94359732
102,461,414,51529,94044,0.55,0.990915348,56.77526732
59,495,460,36906,58410,0.63,0.886866532,50.81370925
149,803,816,1154,239294,0.00,1.565973789,89.72368891
801,71,786,28846,113742,0.25,1.314386862,75.30881984
668,759,944,131169,1014024,0.13,1.441077914,82.56768241
24,732,726,9324,35136,0.27,1.302209856,74.61112878
226,583,394,235729,263516,0.89,0.463366453,26.54894213
567,452,385,377568,512568,0.74,0.742736937,42.55569176
561,745,734,330990,835890,0.40,1.163668939,66.67331896
742,540,230,789264,801360,0.98,0.173968195,9.96764333
340,407,170,252349,276760,0.91,0.423156677,24.24509168
211,210,334,-22935,88620,-0.26,1.83257768,104.9989667
622,376,382,382336,467744,0.82,0.613905581,35.1741988
729,126,655,118292,183708,0.64,0.871194408,49.91576274
662,172,584,126772,227728,0.56,0.98041041,56.17337869
638,924,1083,87931,1179024,0.07,1.496147534,85.72293923
675,338,930,-295031,456300,-0.65,2.273879065,130.2836735
563,603,275,604953,678978,0.89,0.471306461,27.0038711
682,823,1302,-552751,1122572,-0.49,2.085637853,119.4982466
233,383,494,-43058,178478,-0.24,1.814451071,103.9603885
977,782,1456,-553883,1528028,-0.36,1.941726211,111.2527169
224,447,273,175456,200256,0.88,0.502962288,28.81761634
960,371,637,653472,712320,0.92,0.409335629,23.45320396
809,27,802,12006,43686,0.27,1.292388755,74.04842117
708,562,435,627883,795792,0.79,0.661610292,37.90747741
978,70,972,16600,136920,0.12,1.449258654,83.03640432
993,169,1051,-89991,335634,-0.27,1.842239886,105.5525703
950,502,617,773815,953800,0.81,0.624429274,35.77716201
831,374,1123,-430692,621588,-0.69,2.336285538,133.8593011
143,428,343,85984,122408,0.70,0.791979562,45.37708636
381,418,170,290985,318516,0.91,0.418831508,23.99727774
921,107,1021,-182751,197094,-0.93,2.757737058,158.0066944
586,362,722,-46844,424264,-0.11,1.681434289,96.33908828
347,780,1024,-319767,541320,-0.59,2.202743657,126.2079149
695,34,678,24497,47260,0.52,1.025881419,58.7786756
549,83,507,51241,91134,0.56,0.973680196,55.78776582
348,723,435,454608,503208,0.90,0.443116901,25.38872824
356,489,182,332733,348168,0.96,0.298876329,17.12435225
316,169,223,78688,106808,0.74,0.742583844,42.54692019
524,504,983,-437697,528192,-0.83,2.547524159,145.9623825
532,226,562,18256,240464,0.08,1.494803317,85.64592128
638,912,690,762688,1163712,0.66,0.856094287,49.05058954
943,844,1746,-1446931,1591784,-0.91,2.711673833,155.367466
669,950,485,1114836,1271100,0.88,0.501080646,28.7098062
229,743,886,-180506,340294,-0.53,2.129917408,122.0352782
605,75,578,37566,90750,0.41,1.144006839,65.54676362
555,549,690,133326,609390,0.22,1.350226173,77.36226111
562,93,616,-54963,104532,-0.53,2.124452507,121.7221624
754,469,1190,-627623,707252,-0.89,2.662493838,152.5496599
468,496,804,-181376,464256,-0.39,1.972167602,112.9968801
685,68,690,-2251,93160,-0.02,1.594961409,91.38455724
56,355,408,-37303,39760,-0.94,2.788200722,159.7521338
558,27,569,-11668,30132,-0.39,1.968421107,112.7822217
563,856,1351,-775496,963856,-0.80,2.505758503,143.5693867
290,176,166,87520,102080,0.86,0.540664651,30.97780261
735,126,634,154145,185220,0.83,0.587684794,33.67185837
621,942,1515,-1022220,1169964,-0.87,2.633592809,150.8937529
518,899,1349,-743276,931364,-0.80,2.494850261,142.9443905
132,125,102,22645,33000,0.69,0.814527563,46.66899167
409,757,868,-13094,619226,-0.02,1.591943656,91.21165271
195,138,188,21725,53820,0.40,1.155282215,66.19279506
215,614,715,-88004,264020,-0.33,1.910622523,109.4706068
723,201,611,189809,290646,0.65,0.859179514,49.22735999
368,79,321,38624,58144,0.66,0.844263768,48.37275068
516,427,431,262824,440664,0.60,0.931753766,53.38555834
189,290,399,-39380,109620,-0.36,1.938250817,111.0535914
31,347,336,8474,21514,0.39,1.165943974,66.80366888
490,20,497,-6509,19600,-0.33,1.909316736,109.3957907
609,213,794,-214186,259434,-0.83,2.542042533,145.6483085
224,714,533,275883,319872,0.86,0.530647876,30.40388368
260,898,790,249904,466960,0.54,1.00608477,57.64441118
462,388,249,301987,358512,0.84,0.569196261,32.61254344
245,809,865,-33719,396410,-0.09,1.655960158,94.87952812
450,654,479,400775,588600,0.68,0.821811873,47.08635187
470,195,389,107604,183300,0.59,0.943401582,54.05292903
974,723,255,1406380,1408404,1.00,0.053617758,3.072071243
423,204,452,16241,172584,0.09,1.476551976,84.60019646
687,759,1297,-634159,1042866,-0.61,2.224451911,127.4517062
806,567,1155,-362900,914004,-0.40,1.979090407,113.3935276
64,1,64,1,128,0.01,1.562983747,89.55237217
105,301,402,-59978,63210,-0.95,2.820429383,161.5987001
301,630,540,195901,379260,0.52,1.027997175,58.89989949
454,464,296,333796,421312,0.79,0.656263771,37.60114434
301,719,965,-323663,432838,-0.75,2.415492432,138.3975218
563,40,548,18265,45040,0.41,1.153239483,66.07575516
891,548,883,314496,976536,0.32,1.242899478,71.21289444
807,782,298,1173969,1262148,0.93,0.376013931,21.54401129
962,293,1111,-223028,563732,-0.40,1.977547551,113.3051285
590,485,1009,-434756,572300,-0.76,2.4335934,139.4346309
101,275,195,47801,55550,0.86,0.534538066,30.62677517
119,662,742,-98159,157556,-0.62,2.243381509,128.5362923
279,852,850,81245,475416,0.17,1.399060965,80.16028858
659,802,921,229244,1057036,0.22,1.352184853,77.47448518
47,494,519,-23116,46436,-0.50,2.091860572,119.8547821
83,663,732,-89366,110058,-0.81,2.518349925,144.290822
624,928,657,818911,1158144,0.71,0.785423166,45.00143257
936,40,948,-21008,74880,-0.28,1.855169189,106.2933648
907,1000,1633,-844040,1814000,-0.47,2.054760989,117.7291326
656,144,617,70383,188928,0.37,1.189053136,68.12772629
616,386,819,-142309,475552,-0.30,1.874703005,107.41257
988,46,968,41236,90896,0.45,1.099926833,63.0211653
869,356,1033,-185192,618728,-0.30,1.874766631,107.4162155
163,747,830,-104322,243522,-0.43,2.013504805,115.3653274
747,898,264,1294717,1341612,0.97,0.265178324,15.1935988
461,913,1349,-773711,841786,-0.92,2.736663419,156.7992639
624,674,1283,-802437,841152,-0.95,2.837015469,162.5490128
779,27,758,33006,42066,0.78,0.66870665,38.3140688
62,814,864,-80056,100936,-0.79,2.486737648,142.479572
501,407,287,334281,407814,0.82,0.609926959,34.94624055
223,134,253,3676,59764,0.06,1.509248876,86.47359082
393,999,853,424841,785214,0.54,0.999109728,57.24477071
91,771,803,-42087,140322,-0.30,1.875417264,107.4534941
471,560,813,-125528,527520,-0.24,1.811060017,103.7660954
828,553,704,495777,915768,0.54,0.998720668,57.2224792
675,192,792,-134775,259200,-0.52,2.117606628,121.3299224
553,908,579,795032,1004248,0.79,0.65726035,37.65824411
13,674,664,13549,17524,0.77,0.686974656,39.36074843
916,731,1342,-427547,1339192,-0.32,1.895742137,108.6180235
354,139,417,-29252,98412,-0.30,1.872597208,107.2919167
971,901,655,1325617,1749742,0.76,0.711157116,40.74630129
346,336,347,112203,232512,0.48,1.067211262,61.14670114
190,542,485,94639,205960,0.46,1.093362083,62.64503286
569,385,384,324530,438130,0.74,0.736660493,42.2075372
253,977,1174,-359738,494362,-0.73,2.385731792,136.6923627
283,892,1124,-387623,504872,-0.77,2.446141792,140.1536008
935,37,961,-47927,69190,-0.69,2.336004013,133.8431708
791,921,571,1147881,1457022,0.79,0.663523826,38.01711485
363,623,984,-448358,452298,-0.99,3.009503687,172.4318597
184,150,64,52260,55200,0.95,0.327842915,18.78401536
571,966,1061,133476,1103172,0.12,1.449506238,83.05058982
657,116,764,-138591,152424,-0.91,2.712266801,155.4014406
556,123,606,-42971,136776,-0.31,1.890379235,108.3107518
787,195,896,-145422,306930,-0.47,2.064391896,118.2809429
340,81,290,38061,55080,0.69,0.807906699,46.28964412
540,409,715,-52344,441720,-0.12,1.689575839,96.80556474
238,290,79,134503,138040,0.97,0.226862006,12.99823545
518,393,732,-113051,407148,-0.28,1.852159645,106.1209306
217,406,418,37201,176204,0.21,1.35807097,77.81173486
619,309,660,43042,382542,0.11,1.45804181,83.53964205
242,423,433,50004,204732,0.24,1.324059156,75.86300148
824,169,786,89741,278512,0.32,1.242727009,71.20301268
24,417,408,8001,20016,0.40,1.15957382,66.43868595
458,681,317,573036,623796,0.92,0.406204225,23.27378773
571,219,353,249393,250098,1.00,0.075102867,4.303077335
218,566,559,55399,246776,0.22,1.344375617,77.02704891
715,538,1039,-278852,769340,-0.36,1.941698206,111.2511123
691,458,823,9916,632956,0.02,1.55512951,89.10235752
951,642,1231,-198796,1221084,-0.16,1.734327105,99.3696234
793,40,818,-38675,63440,-0.61,2.226391514,127.5628373
960,319,1131,-255800,612480,-0.42,2.001649648,114.6860769
624,368,466,307644,459264,0.67,0.836771955,47.94350146
666,397,566,280809,528804,0.53,1.010984664,57.92515442
970,603,899,496308,1169820,0.42,1.132651632,64.89615817
119,451,474,-7114,107338,-0.07,1.637121565,93.80015625
784,946,1529,-828269,1483328,-0.56,2.163234812,123.9442248
809,489,417,719713,791202,0.91,0.428367519,24.54365094
609,33,620,-12430,40194,-0.31,1.885200742,108.0140461
837,804,1187,-61984,1345896,-0.05,1.616866701,92.63963799
394,169,442,-11567,133172,-0.09,1.657763509,94.98285252
82,218,243,-4801,35752,-0.13,1.705489423,97.71734597
305,640,589,155704,390400,0.40,1.160553555,66.49482061
823,64,853,-46184,105344,-0.44,2.024626607,116.0025597
709,832,442,999541,1179776,0.85,0.560048262,32.08840172
829,61,876,-76414,101138,-0.76,2.427277304,139.0727452
689,492,918,-125939,677976,-0.19,1.75763886,100.7052886
64,118,107,6571,15104,0.44,1.120702167,64.21150428
188,463,632,-149711,174088,-0.86,2.60601332,149.3135646
217,692,630,129053,300328,0.43,1.126628222,64.55104221
413,688,819,-26848,568288,-0.05,1.61805757,92.70786977
689,808,1114,-113411,1113424,-0.10,1.672831157,95.84616511
839,160,920,-116879,268480,-0.44,2.021207754,115.8066738
186,372,468,-46044,138384,-0.33,1.909989482,109.4343362
509,714,536,481581,726852,0.66,0.846568646,48.5048105
82,280,244,25588,45920,0.56,0.979750227,56.13555299
306,570,736,-123160,348840,-0.35,1.931631603,110.6743384
780,358,1099,-471237,558480,-0.84,2.575093379,147.5419825
497,474,237,415516,471156,0.88,0.490903096,28.12667554
542,621,833,-14484,673164,-0.02,1.592314289,91.23288844
386,393,100,293445,303396,0.97,0.256825217,14.71500101
613,697,750,299078,854522,0.35,1.213231095,69.5130213
661,178,672,17021,235316,0.07,1.498400581,85.8520293
982,909,481,1559244,1785276,0.87,0.508674119,29.14488019
972,463,934,286797,900072,0.32,1.24650425,71.41943265
158,509,430,99145,160844,0.62,0.906627678,51.94593956
116,354,459,-71909,82128,-0.88,2.6374155,151.112777
939,728,861,670384,1367184,0.49,1.05831734,60.63711697
549,11,550,-978,12078,-0.08,1.651858747,94.64453457
695,827,1167,-194935,1149530,-0.17,1.74119778,99.76328408
399,549,270,387702,438102,0.88,0.484391877,27.7536102
927,9,934,-12946,16686,-0.78,2.458873406,140.8830685
96,429,467,-24832,82368,-0.30,1.877036943,107.5462948
37,823,848,-40406,60902,-0.66,2.296229123,131.5642375
560,214,555,51371,239680,0.21,1.354788842,77.62368277
680,86,693,-10453,116960,-0.09,1.660288168,95.12750478
208,360,461,-39657,149760,-0.26,1.838796662,105.3552881
831,364,1111,-411264,604968,-0.68,2.318301445,132.8288885
245,135,151,55449,66150,0.84,0.576764697,33.04618292
169,125,156,19850,42250,0.47,1.08170665,61.97722572
867,466,1064,-163251,808044,-0.20,1.774228911,101.6558285
360,749,600,330601,539280,0.61,0.910891754,52.19025308
172,440,273,148655,151360,0.98,0.189339832,10.84837325
318,632,683,34059,401952,0.08,1.485960603,85.1392711
949,261,1095,-230303,495378,-0.46,2.054322017,117.7039814
287,942,689,495012,540708,0.92,0.414075741,23.72479234
627,65,606,30118,81510,0.37,1.192324717,68.3151741
275,252,293,53280,138600,0.38,1.176221648,67.39253618
820,70,770,84400,114800,0.74,0.744846979,42.67658829
451,338,557,7396,304876,0.02,1.546534904,88.60992285
955,810,706,1069689,1547100,0.69,0.80734975,46.25773324
806,651,1314,-653159,1049412,-0.62,2.242607669,128.4919546
831,617,297,983041,1025454,0.96,0.28861225,16.53626382
176,414,343,84723,145728,0.58,0.95037547,54.45250341
924,256,981,-43049,473088,-0.09,1.66191813,95.22089475
222,863,1015,-236172,383172,-0.62,2.234908542,128.0508271
117,186,162,22041,43524,0.51,1.039779672,59.57498685
84,527,538,-4659,88536,-0.05,1.623443306,93.0164497
74,223,289,-28316,33004,-0.86,2.602075074,149.0879197
566,639,689,253956,723348,0.35,1.212067646,69.44636059
646,68,700,-68060,87856,-0.77,2.457000069,140.7757342
280,106,294,3200,59360,0.05,1.516861826,86.90978074
548,153,468,104689,167688,0.62,0.896550643,51.36856796
208,74,240,-8860,30784,-0.29,1.86273755,106.727
682,580,395,645499,791120,0.82,0.616459374,35.32052034
472,269,722,-226139,253936,-0.89,2.669317093,152.9406036
11,850,841,15340,18700,0.82,0.608824503,34.88307446
815,510,1187,-484644,831300,-0.58,2.193206807,125.6614936
70,558,511,55143,78120,0.71,0.787137838,45.09967602
39,787,786,3094,61386,0.05,1.52037259,87.1109327
626,176,772,-173132,220352,-0.79,2.474633733,141.7860687
916,993,1378,-73779,1819176,-0.04,1.611363727,92.3243408
942,71,894,93169,133764,0.70,0.80026338,45.85171419
27,548,532,18009,29592,0.61,0.916530755,52.51334406
740,326,997,-340133,482480,-0.70,2.353174468,134.8269655
533,405,642,35950,431730,0.08,1.48743016,85.22347046
427,961,1057,-11399,820694,-0.01,1.584686238,90.79583327
240,105,147,47016,50400,0.93,0.368532137,21.11533608
374,53,354,17369,39644,0.44,1.117285338,64.01573438
447,794,348,709141,709836,1.00,0.044255151,2.535633396
707,514,1184,-637811,726796,-0.88,2.641556794,151.3500556
605,679,1150,-495434,821590,-0.60,2.21807597,127.0863917
91,622,558,83801,113204,0.74,0.737331356,42.24597478
457,648,777,25024,592272,0.04,1.528532888,87.57848335
499,563,494,321934,561874,0.57,0.960677616,55.04277286
208,247,139,84952,102752,0.83,0.59745961,34.23191409
278,471,206,256689,261876,0.98,0.199363079,11.42266301
358,806,775,177175,577096,0.31,1.25874524,72.12078976
939,636,347,1165808,1194408,0.98,0.219276499,12.56361791
658,753,810,343873,990948,0.35,1.216410767,69.69520308
431,981,1142,-156042,845622,-0.18,1.7563892,100.6336883
671,138,719,-47676,185196,-0.26,1.831163499,104.9179401
187,698,640,112573,261052,0.43,1.12494265,64.45446605
748,287,549,340472,429352,0.79,0.655094487,37.53414929
100,789,885,-150704,157800,-0.96,2.840562954,162.7522687
378,963,960,148653,728028,0.20,1.365164386,78.21815765
957,852,1627,-1005376,1630728,-0.62,2.235111058,128.0624304
742,796,990,204080,1181264,0.17,1.397161057,80.05143186
424,439,210,328397,372272,0.88,0.490404057,28.09808272
88,102,40,16548,17952,0.92,0.398120074,22.81059995
955,828,651,1173808,1581480,0.74,0.734417551,42.07902606
557,484,977,-410024,539176,-0.76,2.434823849,139.5051304
134,707,589,170884,189476,0.90,0.446701917,25.59413456
102,124,77,19851,25296,0.78,0.668505947,38.30256933
344,143,428,-44399,98384,-0.45,2.038998567,116.8260123
174,691,532,224733,240468,0.93,0.363761579,20.84200325
700,685,1145,-351800,959000,-0.37,1.946406744,111.5208917
57,19,64,-486,2166,-0.22,1.79709974,102.9662304
623,374,677,69676,466004,0.15,1.420715522,81.40100327
143,903,819,165097,258258,0.64,0.877245687,50.26247544
357,972,1146,-241083,694008,-0.35,1.925569678,110.3270157
513,683,749,168657,700758,0.24,1.327732053,76.07344294
963,278,1102,-209751,535428,-0.39,1.973323251,113.0630939
697,652,972,-33871,908888,-0.04,1.608071376,92.13570299
320,397,673,-192920,254080,-0.76,2.433015263,139.4015061
213,677,813,-157271,288402,-0.55,2.147565586,123.0464443
625,573,405,554929,716250,0.77,0.684445125,39.21581695
58,814,794,35524,94424,0.38,1.185085418,67.90039283
476,277,213,257936,263704,0.98,0.209538615,12.00567829
869,211,824,120706,366718,0.33,1.235390828,70.78268047
788,808,655,844783,1273408,0.66,0.845438484,48.44005696
284,765,655,236856,434520,0.55,0.994290277,56.96863646
661,733,1210,-489890,969026,-0.51,2.100814326,120.3677944
7,687,688,-1326,9618,-0.14,1.709103348,97.92440856
665,840,1080,-18575,1117200,-0.02,1.58742348,90.95266572
661,260,686,33925,343720,0.10,1.471935849,84.33571185
282,383,644,-188523,216012,-0.87,2.631589936,150.7789967
981,952,470,1647765,1867824,0.88,0.490315577,28.09301322
94,317,228,57341,59596,0.96,0.275967997,15.81180153
72,139,203,-16704,20016,-0.83,2.558079817,146.5671771
559,249,703,-119727,278382,-0.43,2.015379584,115.4727443
51,320,354,-20315,32640,-0.62,2.242596294,128.4913028
492,502,603,130459,493968,0.26,1.303521349,74.6862718
884,362,1202,-532304,640016,-0.83,2.552966425,146.2742014
554,191,718,-172127,211628,-0.81,2.520678575,144.4242439
548,656,939,-151081,718976,-0.21,1.782507914,102.1301804
108,50,71,9123,10800,0.84,0.564750384,32.35781351
952,980,1710,-1057396,1865920,-0.57,2.173277845,124.5196482
618,953,1260,-297467,1177908,-0.25,1.82609912,104.6277725
520,127,620,-97871,132080,-0.74,2.405351499,137.8164892
993,68,983,24384,135048,0.18,1.389242556,79.59773521
942,287,738,425089,540708,0.79,0.66620753,38.17087975
133,176,117,34976,46816,0.75,0.727115312,41.66063858
422,766,787,145471,646504,0.23,1.343841226,76.99643057
177,366,280,86885,129564,0.67,0.835785446,47.88697865
441,281,413,102873,247842,0.42,1.142771169,65.47596493
212,804,662,253116,340896,0.74,0.733998294,42.05500443
888,82,933,-75221,145632,-0.52,2.113571417,121.0987219
904,765,1459,-726240,1383120,-0.53,2.12359809,121.673208
506,76,525,-13813,76912,-0.18,1.751370928,100.3461625
484,889,1284,-624079,860552,-0.73,2.382132437,136.4861349
834,662,945,240775,1104216,0.22,1.350979732,77.40543683
504,536,512,279168,540288,0.52,1.027801696,58.88869936
827,782,889,505132,1293428,0.39,1.169581055,67.01205827
576,655,839,56880,754560,0.08,1.495343073,85.67684699
397,246,533,-65964,195324,-0.34,1.915285382,109.7377689
968,948,1588,-686016,1835328,-0.37,1.953881584,111.9491684
778,319,732,171221,496364,0.34,1.218610301,69.82122709
544,855,964,97665,930240,0.10,1.465613452,83.97346517
48,461,478,-13659,44256,-0.31,1.88455514,107.9770558
773,106,695,125740,163876,0.77,0.696195673,39.88907379
300,337,318,102445,202200,0.51,1.039499497,59.55893397
976,284,1166,-326324,554368,-0.59,2.200173621,126.0606627
663,904,817,589296,1198704,0.49,1.056857616,60.55348093
621,847,601,741849,1051974,0.71,0.788095245,45.15453142
838,258,821,94767,432408,0.22,1.349841773,77.34023661
925,485,848,371746,897250,0.41,1.143604004,65.52368288
620,365,372,379241,452600,0.84,0.577341741,33.07924508
389,583,486,255014,453574,0.56,0.973713529,55.78967569
407,805,764,229978,655270,0.35,1.212192969,69.45354108
756,292,1014,-371396,441504,-0.84,2.570306856,147.2677349
630,701,839,184380,883260,0.21,1.360500309,77.95092571
384,152,284,89904,116736,0.77,0.691723142,39.63281665
518,373,589,60532,386428,0.16,1.413503568,80.98778878
243,353,157,159009,171558,0.93,0.384855407,22.05059055
849,606,781,478076,1028988,0.46,1.087604509,62.31514813
848,768,430,1124028,1302528,0.86,0.529699785,30.34956211
292,458,518,26704,267472,0.10,1.47079123,84.27013004
224,229,356,-24119,102592,-0.24,1.808113975,103.5972996
31,137,154,-3986,8494,-0.47,2.059262996,117.9870786
490,773,460,626029,757540,0.83,0.598117154,34.2695886
135,824,783,84112,222480,0.38,1.183090576,67.78609681
875,334,913,43612,584500,0.07,1.49611272,85.72094451
291,895,746,329190,520890,0.63,0.886695988,50.80393781
992,997,1192,557209,1978048,0.28,1.285234678,73.63852274
975,418,1055,12324,815100,0.02,1.555676133,89.13367674
104,234,233,11283,48672,0.23,1.336851113,76.59592663
153,9,154,-226,2754,-0.08,1.652951166,94.70712558
553,657,1016,-294798,726642,-0.41,1.988539894,113.9349433
263,408,446,36717,214608,0.17,1.398861789,80.14887661
743,348,474,448477,517128,0.87,0.521153134,29.85987504
327,769,596,343074,502926,0.68,0.82008915,46.98764712
357,851,990,-128450,607614,-0.21,1.783804112,102.2044471
585,520,259,545544,608400,0.90,0.458570082,26.27413032
65,604,583,29152,78520,0.37,1.19042157,68.20613181
465,187,287,168825,173910,0.97,0.242416469,13.88944058
417,289,157,232761,241026,0.97,0.262635474,15.04790422
918,277,1036,-153843,508572,-0.30,1.878110715,107.6078174
782,477,1195,-588972,746028,-0.79,2.480752875,142.1366698
995,964,203,1878112,1918360,0.98,0.205203299,11.75728299
720,228,870,-186516,328320,-0.57,2.174982004,124.6172893
